sat,net_bp,equity
2026-06-20 00:00:00+00:00,-36.83488457033722,0.9963165115429663
2026-06-27 00:00:00+00:00,22.19468117814373,0.9985278042755881
2026-07-04 00:00:00+00:00,-5.277714646250365,0.9980008097938567
2026-07-11 00:00:00+00:00,-40.543712323148014,0.9939545440208016
2026-07-18 00:00:00+00:00,12.967991575444604,0.9952435034361253
2026-07-25 00:00:00+00:00,84.41900627985977,1.0036452501927817
2026-08-01 00:00:00+00:00,166.80439038849838,1.0203864936052536
2026-08-08 00:00:00+00:00,16.72471704947732,1.0220930611439192
2026-08-15 00:00:00+00:00,29.203218009004953,1.0250779017929268
2026-08-22 00:00:00+00:00,42.77426885654224,1.0294625975699458
2026-08-29 00:00:00+00:00,90.12348465954535,1.038740473231913
2026-09-05 00:00:00+00:00,152.61483381864855,1.0545931937022124
2026-09-12 00:00:00+00:00,15.202072538858868,1.056196393925177
2026-09-19 00:00:00+00:00,-16.143485369514195,1.0544913248219105
