sat,net_bp
2026-06-20 00:00:00+00:00,-36.83488457033722
2026-06-27 00:00:00+00:00,22.19468117814373
2026-07-04 00:00:00+00:00,-5.277714646250365
2026-07-11 00:00:00+00:00,-40.543712323148014
2026-07-18 00:00:00+00:00,12.967991575444604
2026-07-25 00:00:00+00:00,84.41900627985977
2026-08-01 00:00:00+00:00,166.80439038849838
2026-08-08 00:00:00+00:00,16.724717049477324
2026-08-15 00:00:00+00:00,29.203218009004953
2026-08-22 00:00:00+00:00,42.774268856542236
2026-08-29 00:00:00+00:00,90.12348465954535
2026-09-05 00:00:00+00:00,152.61483381864855
2026-09-12 00:00:00+00:00,15.202072538858868
